User_ID,Is_Response
id80132,0
id80133,1
id80134,0
id80135,0
id80136,1
id80137,1
id80138,1
id80139,0
id80140,0
id80141,0
id80142,1
id80143,1
id80144,0
id80145,0
id80146,0
id80147,1
id80148,0
id80149,1
id80150,1
id80151,1
id80152,1
id80153,1
id80154,1
id80155,0
id80156,0
id80157,0
id80158,1
id80159,0
id80160,1
id80161,0
id80162,1
id80163,1
id80164,0
id80165,1
id80166,1
id80167,0
id80168,1
id80169,1
id80170,1
id80171,1
id80172,1
id80173,1
id80174,0
id80175,1
id80176,1
id80177,1
id80178,0
id80179,1
id80180,1
id80181,0
id80182,0
id80183,1
id80184,1
id80185,0
id80186,1
id80187,1
id80188,1
id80189,1
id80190,1
id80191,1
id80192,1
id80193,1
id80194,1
id80195,0
id80196,0
id80197,1
id80198,1
id80199,0
id80200,0
id80201,1
id80202,1
id80203,0
id80204,1
id80205,1
id80206,0
id80207,0
id80208,0
id80209,1
id80210,1
id80211,1
id80212,1
id80213,0
id80214,1
id80215,0
id80216,1
id80217,1
id80218,1
id80219,0
id80220,1
id80221,0
id80222,1
id80223,1
id80224,1
id80225,1
id80226,1
id80227,1
id80228,0
id80229,0
id80230,1
id80231,1
id80232,1
id80233,1
id80234,0
id80235,1
id80236,1
id80237,1
id80238,1
id80239,1
id80240,0
id80241,1
id80242,0
id80243,0
id80244,0
id80245,1
id80246,1
id80247,0
id80248,1
id80249,1
id80250,0
id80251,1
id80252,1
id80253,1
id80254,1
id80255,0
id80256,0
id80257,1
id80258,1
id80259,1
id80260,0
id80261,1
id80262,1
id80263,0
id80264,1
id80265,1
id80266,1
id80267,0
id80268,1
id80269,1
id80270,1
id80271,1
id80272,1
id80273,0
id80274,0
id80275,0
id80276,1
id80277,1
id80278,0
id80279,1
id80280,1
id80281,1
id80282,0
id80283,1
id80284,0
id80285,1
id80286,1
id80287,1
id80288,1
id80289,1
id80290,0
id80291,1
id80292,0
id80293,1
id80294,1
id80295,1
id80296,1
id80297,1
id80298,0
id80299,1
id80300,1
id80301,1
id80302,1
id80303,1
id80304,1
id80305,1
id80306,0
id80307,0
id80308,0
id80309,1
id80310,1
id80311,1
id80312,0
id80313,1
id80314,0
id80315,0
id80316,1
id80317,1
id80318,1
id80319,0
id80320,1
id80321,0
id80322,1
id80323,0
id80324,1
id80325,1
id80326,0
id80327,1
id80328,0
id80329,1
id80330,1
id80331,1
id80332,1
id80333,1
id80334,0
id80335,1
id80336,1
id80337,0
id80338,1
id80339,0
id80340,0
id80341,1
id80342,0
id80343,0
id80344,0
id80345,0
id80346,0
id80347,1
id80348,1
id80349,1
id80350,1
id80351,1
id80352,0
id80353,0
id80354,1
id80355,0
id80356,0
id80357,1
id80358,1
id80359,0
id80360,1
id80361,0
id80362,1
id80363,0
id80364,0
id80365,1
id80366,0
id80367,1
id80368,1
id80369,0
id80370,1
id80371,1
id80372,0
id80373,0
id80374,1
id80375,1
id80376,1
id80377,1
id80378,0
id80379,0
id80380,0
id80381,0
id80382,1
id80383,0
id80384,1
id80385,1
id80386,1
id80387,1
id80388,1
id80389,0
id80390,0
id80391,0
id80392,1
id80393,1
id80394,1
id80395,0
id80396,1
id80397,1
id80398,0
id80399,1
id80400,0
id80401,1
id80402,0
id80403,0
id80404,0
id80405,0
id80406,1
id80407,0
id80408,1
id80409,1
id80410,1
id80411,0
id80412,0
id80413,1
id80414,1
id80415,0
id80416,0
id80417,0
id80418,1
id80419,1
id80420,1
id80421,1
id80422,1
id80423,1
id80424,0
id80425,0
id80426,1
id80427,0
id80428,1
id80429,1
id80430,0
id80431,0
id80432,0
id80433,0
id80434,1
id80435,1
id80436,0
id80437,0
id80438,1
id80439,1
id80440,1
id80441,0
id80442,1
id80443,1
id80444,1
id80445,1
id80446,1
id80447,1
id80448,1
id80449,0
id80450,1
id80451,1
id80452,1
id80453,1
id80454,1
id80455,0
id80456,1
id80457,1
id80458,1
id80459,0
id80460,0
id80461,0
id80462,0
id80463,1
id80464,0
id80465,0
id80466,1
id80467,0
id80468,0
id80469,1
id80470,0
id80471,0
id80472,1
id80473,1
id80474,1
id80475,1
id80476,1
id80477,1
id80478,0
id80479,0
id80480,1
id80481,0
id80482,1
id80483,1
id80484,1
id80485,1
id80486,0
id80487,0
id80488,0
id80489,1
id80490,1
id80491,1
id80492,0
id80493,1
id80494,0
id80495,0
id80496,1
id80497,1
id80498,0
id80499,1
id80500,1
id80501,0
id80502,1
id80503,0
id80504,1
id80505,1
id80506,0
id80507,1
id80508,1
id80509,0
id80510,0
id80511,1
id80512,1
id80513,0
id80514,1
id80515,1
id80516,0
id80517,1
id80518,1
id80519,1
id80520,1
id80521,1
id80522,0
id80523,0
id80524,0
id80525,1
id80526,1
id80527,0
id80528,1
id80529,0
id80530,0
id80531,1
id80532,0
id80533,0
id80534,1
id80535,0
id80536,0
id80537,0
id80538,0
id80539,1
id80540,0
id80541,0
id80542,1
id80543,0
id80544,1
id80545,1
id80546,1
id80547,1
id80548,0
id80549,0
id80550,0
id80551,0
id80552,1
id80553,1
id80554,0
id80555,1
id80556,1
id80557,0
id80558,0
id80559,0
id80560,0
id80561,1
id80562,1
id80563,0
id80564,1
id80565,1
id80566,1
id80567,0
id80568,1
id80569,1
id80570,1
id80571,1
id80572,1
id80573,1
id80574,0
id80575,1
id80576,0
id80577,0
id80578,1
id80579,0
id80580,1
id80581,1
id80582,0
id80583,1
id80584,0
id80585,0
id80586,0
id80587,0
id80588,1
id80589,0
id80590,1
id80591,1
id80592,1
id80593,0
id80594,0
id80595,0
id80596,1
id80597,1
id80598,1
id80599,1
id80600,0
id80601,1
id80602,0
id80603,1
id80604,1
id80605,1
id80606,1
id80607,1
id80608,1
id80609,0
id80610,0
id80611,1
id80612,1
id80613,1
id80614,1
id80615,1
id80616,0
id80617,0
id80618,1
id80619,0
id80620,0
id80621,0
id80622,0
id80623,1
id80624,1
id80625,1
id80626,1
id80627,0
id80628,1
id80629,1
id80630,0
id80631,1
id80632,1
id80633,1
id80634,0
id80635,0
id80636,1
id80637,1
id80638,1
id80639,1
id80640,1
id80641,0
id80642,0
id80643,1
id80644,1
id80645,1
id80646,1
id80647,1
id80648,1
id80649,0
id80650,0
id80651,1
id80652,1
id80653,0
id80654,0
id80655,1
id80656,0
id80657,1
id80658,0
id80659,1
id80660,1
id80661,0
id80662,1
id80663,0
id80664,0
id80665,0
id80666,0
id80667,1
id80668,1
id80669,1
id80670,1
id80671,1
id80672,0
id80673,0
id80674,1
id80675,1
id80676,0
id80677,1
id80678,1
id80679,1
id80680,1
id80681,1
id80682,1
id80683,1
id80684,1
id80685,0
id80686,0
id80687,1
id80688,1
id80689,0
id80690,0
id80691,1
id80692,1
id80693,0
id80694,1
id80695,1
id80696,1
id80697,0
id80698,0
id80699,0
id80700,1
id80701,1
id80702,1
id80703,0
id80704,1
id80705,0
id80706,1
id80707,1
id80708,0
id80709,1
id80710,1
id80711,1
id80712,0
id80713,1
id80714,0
id80715,1
id80716,1
id80717,0
id80718,0
id80719,1
id80720,0
id80721,1
id80722,1
id80723,1
id80724,1
id80725,1
id80726,1
id80727,1
id80728,0
id80729,0
id80730,0
id80731,0
id80732,1
id80733,1
id80734,0
id80735,1
id80736,1
id80737,1
id80738,0
id80739,1
id80740,1
id80741,1
id80742,1
id80743,1
id80744,0
id80745,0
id80746,0
id80747,1
id80748,1
id80749,0
id80750,1
id80751,1
id80752,1
id80753,0
id80754,0
id80755,0
id80756,1
id80757,1
id80758,1
id80759,0
id80760,1
id80761,0
id80762,1
id80763,1
id80764,1
id80765,1
id80766,1
id80767,1
id80768,0
id80769,1
id80770,1
id80771,0
id80772,1
id80773,1
id80774,0
id80775,1
id80776,0
id80777,1
id80778,1
id80779,1
id80780,1
id80781,0
id80782,0
id80783,1
id80784,1
id80785,1
id80786,1
id80787,1
id80788,1
id80789,0
id80790,0
id80791,1
id80792,0
id80793,1
id80794,1
id80795,0
id80796,0
id80797,1
id80798,1
id80799,0
id80800,0
id80801,1
id80802,1
id80803,0
id80804,0
id80805,1
id80806,1
id80807,0
id80808,0
id80809,0
id80810,1
id80811,0
id80812,1
id80813,1
id80814,1
id80815,0
id80816,0
id80817,1
id80818,1
id80819,1
id80820,1
id80821,1
id80822,1
id80823,1
id80824,1
id80825,1
id80826,0
id80827,1
id80828,1
id80829,0
id80830,0
id80831,0
id80832,1
id80833,1
id80834,0
id80835,1
id80836,1
id80837,0
id80838,1
id80839,1
id80840,1
id80841,1
id80842,1
id80843,1
id80844,0
id80845,0
id80846,0
id80847,1
id80848,0
id80849,0
id80850,1
id80851,0
id80852,0
id80853,1
id80854,1
id80855,1
id80856,0
id80857,0
id80858,0
id80859,0
id80860,1
id80861,1
id80862,0
id80863,1
id80864,1
id80865,0
id80866,1
id80867,0
id80868,1
id80869,0
id80870,0
id80871,1
id80872,0
id80873,0
id80874,1
id80875,0
id80876,1
id80877,0
id80878,0
id80879,1
id80880,1
id80881,1
id80882,1
id80883,1
id80884,0
id80885,1
id80886,1
id80887,0
id80888,1
id80889,0
id80890,1
id80891,0
id80892,1
id80893,1
id80894,1
id80895,1
id80896,1
id80897,1
id80898,0
id80899,0
id80900,0
id80901,1
id80902,0
id80903,1
id80904,1
id80905,0
id80906,0
id80907,0
id80908,1
id80909,0
id80910,1
id80911,1
id80912,1
id80913,0
id80914,0
id80915,1
id80916,1
id80917,1
id80918,1
id80919,0
id80920,1
id80921,0
id80922,1
id80923,0
id80924,1
id80925,0
id80926,1
id80927,1
id80928,0
id80929,1
id80930,0
id80931,1
id80932,0
id80933,1
id80934,1
id80935,0
id80936,0
id80937,1
id80938,1
id80939,0
id80940,0
id80941,0
id80942,0
id80943,0
id80944,1
id80945,0
id80946,1
id80947,1
id80948,1
id80949,1
id80950,0
id80951,1
id80952,0
id80953,0
id80954,0
id80955,1
id80956,1
id80957,1
id80958,1
id80959,0
id80960,1
id80961,0
id80962,1
id80963,1
id80964,0
id80965,1
id80966,1
id80967,1
id80968,0
id80969,0
id80970,1
id80971,0
id80972,1
